iter	Logloss
0	0.6896907043
1	0.6861380005
2	0.6824765015
3	0.6789578247
4	0.6756562805
5	0.6719544983
6	0.6689295197
7	0.6648736572
8	0.6609753418
9	0.6582949829
10	0.6552479553
11	0.6525227356
12	0.6493663025
13	0.6465513611
14	0.6436308289
15	0.6405000305
16	0.63698246
17	0.6330275726
18	0.6302619934
19	0.6267286682
20	0.6234734344
21	0.6201950073
22	0.6169737625
23	0.6135927582
24	0.6107300186
25	0.6076102448
26	0.6049090576
27	0.6023371124
28	0.6000018311
29	0.596595993
30	0.5936251068
31	0.5910664368
32	0.5878238678
33	0.5847299957
34	0.5816822052
35	0.5787811279
36	0.5764080811
37	0.5734989548
38	0.5706664276
39	0.567773819
40	0.5651828003
41	0.5625865173
42	0.559655838
43	0.5569984436
44	0.5544045258
45	0.55210495
46	0.5496822357
47	0.5472124863
48	0.5448786163
49	0.5417496872
50	0.539278717
51	0.5366548157
52	0.5343011475
53	0.5316550446
54	0.5290898132
55	0.5264053726
56	0.5241448975
57	0.521235199
58	0.5184991455
59	0.5163594818
60	0.5133510971
61	0.5109352112
62	0.5086179352
63	0.5063111496
64	0.5036611557
65	0.5018210602
66	0.499642334
67	0.4972962189
68	0.4956206512
69	0.4936955261
70	0.4916564178
71	0.4893635941
72	0.4869225311
73	0.4842662811
74	0.482515831
75	0.4806803894
76	0.4787740326
77	0.476618309
78	0.4743604279
79	0.4722632599
80	0.4705678177
81	0.4683450699
82	0.4660833359
83	0.4645685959
84	0.462715683
85	0.4604311752
86	0.4581962967
87	0.4561349106
88	0.4540887833
89	0.4521607208
90	0.4500305176
91	0.4477066803
92	0.4459645081
93	0.443900528
94	0.4416888428
95	0.4399826813
96	0.4384729767
97	0.4364320374
98	0.4348374939
99	0.4332052612
100	0.4315121078
101	0.4296860504
102	0.4278814697
103	0.4264327621
104	0.4243945312
105	0.4227619171
106	0.4207542419
107	0.4189263916
108	0.4169668961
109	0.4155091095
110	0.4138211441
111	0.4123703766
112	0.4106403732
113	0.4089595795
114	0.4070604706
115	0.40567276
116	0.4041153717
117	0.4027878952
118	0.4015373993
119	0.4001740265
120	0.3984118652
121	0.396765213
122	0.3947874451
123	0.3928865433
124	0.3914936829
125	0.3900710297
126	0.3888021851
127	0.3876522064
128	0.3863617325
129	0.3847049713
130	0.3831792831
131	0.3815431213
132	0.3799016571
133	0.3784426117
134	0.3770508957
135	0.3757965851
136	0.373853035
137	0.3727756882
138	0.3714085388
139	0.3696315002
140	0.3679909897
141	0.366618042
142	0.3653227997
143	0.3641214752
144	0.3625772095
145	0.3614179993
146	0.3603678513
147	0.3587348557
148	0.3574434662
149	0.3561857605
150	0.3543225479
151	0.3529272842
152	0.3516747665
153	0.3502934647
154	0.3491160583
155	0.3477385712
156	0.3461504364
157	0.3449881363
158	0.3438381577
159	0.3424863434
160	0.3412099457
161	0.339878006
162	0.3385715103
163	0.3372666931
164	0.3361224365
165	0.3350124359
166	0.3336818695
167	0.3325426483
168	0.3314646912
169	0.3299817657
170	0.3289096069
171	0.3278077698
172	0.3263925171
173	0.3251379395
174	0.3239879227
175	0.3230557251
176	0.3221322632
177	0.3207920456
178	0.3198038864
179	0.3185041237
180	0.3175518417
181	0.3165519333
182	0.3154249573
183	0.3143094063
184	0.3133855057
185	0.3126349258
186	0.3115657234
187	0.3101999664
188	0.3090718269
189	0.3078775215
190	0.306926403
191	0.3059535027
192	0.3048330498
193	0.3038578606
